ID,Image file,Name,Meaning
1,https://tarot.vn/wp-content/uploads/2014/07/0-Fool-icon.png,The Fool," The Fool card holds the distinction of being the first card in the Tarot deck. It symbolizes the embrace of new beginnings, the expansion of one's horizons, and the willingness to take risks guided by intuition. In simpler terms, it encourages you to listen to your inner feelings and take a leap of faith"
2,https://tarot.vn/wp-content/uploads/2014/07/1-Magician-icon.png,The Magician,"The Magician card signifies the power to manifest desires, mastery over skills and elements, and the potential for personal transformation and new beginnings. It suggests the individual has the necessary tools to achieve their goals. Interpretations may vary based on the reader's intuition and context."
3,https://tarot.vn/wp-content/uploads/2014/07/2-High-Priestess-icon.png,The High Priesstess,"The High Priestess embodies intuition, wisdom, and a connection to the subconscious. It symbolizes mystery, hidden knowledge, and encourages trust in one's instincts. This card, associated with feminine energy, suggests a time for introspection and receptivity to unseen truths in a reading. Interpretations may vary based on context and surrounding cards."
4,https://tarot.vn/wp-content/uploads/2014/07/3-Empress-icon.png,The Empress,"The Empress in the Tarot represents fertility, creativity, and abundance. It symbolizes motherhood, prosperity, and a harmonious connection to nature. This card encourages embracing nurturing qualities and enjoying life's pleasures. Interpretations may vary based on the context of the reading."
5,https://tarot.vn/wp-content/uploads/2014/07/4-Emperor-icon.png,The Emperor,"The Emperor card in the Tarot signifies authority, stability, and structure. It represents leadership, the establishment of order, and the application of sound governance. This card suggests a need for discipline, responsibility, and strategic thinking. In a reading, The Emperor may indicate a period of taking control, asserting authority, or seeking guidance from a strong and stable figure. Interpretations can vary based on the context of the reading and surrounding cards."
6,https://tarot.vn/wp-content/uploads/2014/07/5-Hierophant-icon.png,The Hierophant,"The Hierophant symbolizes tradition, spiritual guidance, and the connection between the divine and earthly realms. It signifies adherence to established beliefs, seeking guidance from a mentor, and the influence of formalized spiritual teachings. Interpretations depend on the context of the reading."
7,https://tarot.vn/wp-content/uploads/2014/07/6-Lovers-icon.png,The Lovers,"The Lovers card in the Tarot represents choices in relationships and decisions involving matters of the heart. It signifies the importance of love, unity, and aligning values. This card often points to a significant relationship or a choice that may lead to personal and spiritual growth. Interpretations depend on the context of the reading."
8,https://tarot.vn/wp-content/uploads/2014/07/7-chariot-icon.png,The Chariot,"The Chariot in the Tarot symbolizes triumph through determination and willpower, urging focus and self-discipline to overcome challenges. It represents a journey where inner strength helps navigate obstacles, emphasizing assertiveness and control. Interpretations vary based on the reading's context."
9,https://tarot.vn/wp-content/uploads/2014/07/8-Strength-icon.png,The Strength,"The Strength card in Tarot symbolizes inner strength, courage, and resilience. It encourages facing challenges with patience and compassion, emphasizing the power of self-control. The card suggests taming inner instincts and maintaining balance to overcome obstacles."
10,https://tarot.vn/wp-content/uploads/2014/07/9-Hermit-icon.png,The Hermit,"The Hermit card in Tarot symbolizes introspection, solitude, and spiritual seeking. It suggests a period of inner reflection, seeking wisdom, and withdrawing from external influences to find answers within. The card encourages a journey of self-discovery and the pursuit of deeper knowledge. Interpretations may vary based on the context of the reading and surrounding cards."
